"id","admission_threshold","cache_size","cms_delta","cms_epsilon","default_latency","latency_utility","model","policy","protected_fraction","request_count","size_utility","tau","tiny_window_size","window_size","expected_count","victim_sample_proportion"
"120","","10000000","","","","",wiki-t-10,lfu-sliding,"","1000000","","","","100000","1","0.1"
"121","","10000000","","","","",wiki-t-10,lfu-sliding,"","1000000","","","","1000000","1","0.1"
"122","","10000000","","","1",freq_over_size_times_latency,wiki-t-10,lfu-latency-byte,"","1000000","","","","","1","0.1"
"123","","10000000","","","1",freq_times_latency_over_size,wiki-t-10,lfu-latency-byte,"","1000000","","","","","1","0.1"
"124","2","10000000","1.00E-07","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"125","2","10000000","1.00E-06","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"126","2","10000000","1.00E-05","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"127","2","10000000","1.00E-04","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"128","2","10000000","1.00E-03","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"129","2","10000000","1.00E-02","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"130","2","10000000","1.00E-07","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"131","2","10000000","1.00E-06","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"132","2","10000000","1.00E-05","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"133","2","10000000","1.00E-04","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"134","2","10000000","1.00E-03","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"135","2","10000000","1.00E-02","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"136","2","10000000","1.00E-07","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"137","2","10000000","1.00E-06","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"138","2","10000000","1.00E-05","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"139","2","10000000","1.00E-04","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"140","2","10000000","1.00E-03","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"141","2","10000000","1.00E-02","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"142","2","10000000","1.00E-07","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"143","2","10000000","1.00E-06","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"144","2","10000000","1.00E-05","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"145","2","10000000","1.00E-04","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"146","2","10000000","1.00E-03","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"147","2","10000000","1.00E-02","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"148","3","10000000","1.00E-07","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"149","3","10000000","1.00E-06","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"150","3","10000000","1.00E-05","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"151","3","10000000","1.00E-04","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"152","3","10000000","1.00E-03","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"153","3","10000000","1.00E-02","0.001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"154","3","10000000","1.00E-07","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"155","3","10000000","1.00E-06","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"156","3","10000000","1.00E-05","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"157","3","10000000","1.00E-04","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"158","3","10000000","1.00E-03","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"159","3","10000000","1.00E-02","0.01","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"160","3","10000000","1.00E-07","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"161","3","10000000","1.00E-06","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"162","3","10000000","1.00E-05","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"163","3","10000000","1.00E-04","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"164","3","10000000","1.00E-03","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"165","3","10000000","1.00E-02","0.1","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"166","3","10000000","1.00E-07","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"167","3","10000000","1.00E-06","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"168","3","10000000","1.00E-05","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
"169","3","10000000","1.00E-04","0.0001","","",wiki-t-10,lfu-doorkeeper,"","1000000","","","","","1","0.1"
