id,admission_threshold,cache_size,cms_delta,cms_epsilon,default_latency,latency_utility,model,policy,protected_fraction,request_count,size_utility,tau,tiny_window_size,window_size
101,,10000000,,,,,docker-registry-processed,lfu,,1000000,,,,
102,,10000000,,,,,wiki-t-10,two-segment,0.1,1000000,,,,
103,,10000000,,,,,wiki-t-10,two-segment,0.2,1000000,,,,
104,,10000000,,,,,wiki-t-10,two-segment,0.3,1000000,,,,
105,,10000000,,,,,wiki-t-10,two-segment,0.4,1000000,,,,
106,,10000000,,,,,wiki-t-10,two-segment,0.5,1000000,,,,
107,,10000000,,,,,wiki-t-10,two-segment,0.6,1000000,,,,
108,,10000000,,,,,wiki-t-10,two-segment,0.7,1000000,,,,
109,,10000000,,,,,wiki-t-10,two-segment,0.8,1000000,,,,
110,,10000000,,,,,wiki-t-10,two-segment,0.9,1000000,,,,
111,,10000000,,,,,wiki-t-10,tiny-lfu-byte,,1000000,,,100,
112,,10000000,,,,,wiki-t-10,tiny-lfu-byte,,1000000,,,1000,
113,,10000000,,,,,wiki-t-10,tiny-lfu-byte,,1000000,,,10000,
114,,10000000,,,,,wiki-t-10,tiny-lfu-byte,,1000000,,,100000,
115,,10000000,,,,,wiki-t-10,tiny-lfu-byte,,1000000,,,1000000,
116,,10000000,,,,,wiki-t-10,lru,,1000000,,,,
117,,10000000,,,,,wiki-t-10,lfu-sliding,,1000000,,,,100
118,,10000000,,,,,wiki-t-10,lfu-sliding,,1000000,,,,1000
119,,10000000,,,,,wiki-t-10,lfu-sliding,,1000000,,,,10000
120,,10000000,,,,,wiki-t-10,lfu-sliding,,1000000,,,,100000
121,,10000000,,,,,wiki-t-10,lfu-sliding,,1000000,,,,1000000
122,,10000000,,,1,freq_over_size_times_latency,wiki-t-10,lfu-latency-byte,,1000000,,,,
123,,10000000,,,1,freq_times_latency_over_size,wiki-t-10,lfu-latency-byte,,1000000,,,,
124,2,10000000,1.00E-07,0.001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
125,2,10000000,1.00E-06,0.001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
126,2,10000000,1.00E-05,0.001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
127,2,10000000,1.00E-04,0.001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
128,2,10000000,1.00E-03,0.001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
129,2,10000000,1.00E-02,0.001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
130,2,10000000,1.00E-07,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
131,2,10000000,1.00E-06,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
132,2,10000000,1.00E-05,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
133,2,10000000,1.00E-04,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
134,2,10000000,1.00E-03,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
135,2,10000000,1.00E-02,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
136,2,10000000,1.00E-07,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
137,2,10000000,1.00E-06,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
138,2,10000000,1.00E-05,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
139,2,10000000,1.00E-04,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
140,2,10000000,1.00E-03,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
141,2,10000000,1.00E-02,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
142,2,10000000,1.00E-07,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
143,2,10000000,1.00E-06,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
144,2,10000000,1.00E-05,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
